img_id,Entropy,Fisher information,Label
139,0.7822930787784669,0.480652151418336,Pulmonary Consolidation
140,0.7670242068444914,0.5153979502064716,Pulmonary Consolidation
141,0.7806381234817806,0.4820731786656932,Pulmonary Consolidation
142,0.7796717484922397,0.49816781596111825,Pulmonary Consolidation
143,0.7556266275995226,0.529742236489682,Pulmonary Consolidation
144,0.7948256900089744,0.4741163535900991,Pulmonary Consolidation
145,0.7780533775109287,0.47747194343832844,Pulmonary Consolidation
146,0.7833437845114694,0.4769367205217194,Pulmonary Consolidation
147,0.7545725276618704,0.5325972428965657,Pulmonary Consolidation
148,0.7946038869794786,0.43977964883783416,Pulmonary Consolidation
149,0.7868157119530818,0.46976295200875606,Pulmonary Consolidation
150,0.7927545713853474,0.49095697371637004,Pulmonary Consolidation
151,0.799786627144589,0.4378483045885647,Pulmonary Consolidation
152,0.7992699022076805,0.4356445759220596,Pulmonary Consolidation
153,0.800096573135747,0.4624803808840345,Pulmonary Consolidation
154,0.8005041608400397,0.4443128141474299,Pulmonary Consolidation
155,0.768404619076304,0.48574063472096596,Pulmonary Consolidation
156,0.7554226735979568,0.523319814384829,Pulmonary Consolidation
157,0.7659906745179941,0.5222135118085454,Pulmonary Consolidation
158,0.7724692294400078,0.5129790058285608,Pulmonary Consolidation
159,0.7702218815551988,0.5188420330516301,Pulmonary Consolidation
160,0.7681938593017097,0.5010941658562337,Pulmonary Consolidation
161,0.7515263010465089,0.5644133445974862,Pulmonary Consolidation
162,0.7460713206903934,0.5203557743273225,Pulmonary Consolidation
163,0.795468260696427,0.46122839658032255,Pulmonary Consolidation
164,0.7887480598494109,0.465853712807235,Pulmonary Consolidation
165,0.7729094598332334,0.49895553850577284,Pulmonary Consolidation
166,0.7655844304921172,0.5083374417165267,Pulmonary Consolidation
167,0.767512293075323,0.5279782839068663,Pulmonary Consolidation
168,0.7646571302452743,0.5188394351298019,Pulmonary Consolidation
169,0.7907412595030365,0.483673312811766,Pulmonary Consolidation
