img_id,Entropy,Complexity,Fisher,Smoothness,Curve structure,Up-down balance,Persistence,Distance to White Noise,Label
581,0.9854854917916076,0.0188098131671531,0.0133580828188033,0.0816326530612245,0.1259763164525069,0.012597631645250698,-0.12704711514235328,0.0038704866342270535,Emphysematous Area
582,0.9944508969316928,0.007306861031567,0.0076726056720073,0.0587049634668682,0.0743260267069791,0.015369110607205902,-0.1595490047871001,0.0014518937106490686,Emphysematous Area
583,0.9901751672214458,0.0130065433827661,0.0129372517529589,0.0677752582514487,0.1368102796674225,0.018140589569160995,-0.1537540942302848,0.002528262781835114,Emphysematous Area
584,0.991124287713876,0.011811815213765,0.012078709116601,0.0826404635928445,0.1048122952884857,0.0070546737213404015,-0.1436759889140842,0.0022625349608876664,Emphysematous Area
585,0.99325452554196,0.0087644036484146,0.0079858240047868,0.0695389266817838,0.0801209372637943,0.016376921138825898,-0.1424162257495591,0.0018120799638874287,Emphysematous Area
586,0.9960456330144548,0.0051328250242575,0.0047953807572787,0.0493827160493827,0.054925673973293,0.015117157974300799,-0.1451877047115144,0.0010673310877872405,Emphysematous Area
587,0.989783001258394,0.0134341169042253,0.0147570554345302,0.0781053162005542,0.1179138321995465,0.004535147392290301,-0.1562736205593349,0.0026647450596748085,Emphysematous Area
588,0.9921819936646176,0.0101589109275294,0.0108331341910723,0.0806248425296044,0.0841521793902746,0.011085915847820704,-0.1482111363063745,0.002093677817141804,Emphysematous Area
589,0.9966959755546438,0.0042357065635948,0.0042674764711169,0.0388007054673721,0.0226757369614512,0.020912068531116094,-0.1489669942050895,0.0009156135789328733,Emphysematous Area
590,0.995224841904928,0.0061678389233503,0.0050934380788027,0.0219198790627362,0.0415721844293272,0.0199042579994961,-0.1580372889896701,0.0012992874799855098,Emphysematous Area
591,0.9929875730813966,0.0090960916271107,0.0081968397320961,0.0425799949609473,0.0833963214915596,0.010078105316200597,-0.1542579994960948,0.0018863517150839147,Emphysematous Area
592,0.989301183753254,0.0141633098468079,0.0146513929615605,0.0816326530612245,0.1254724111866969,0.0158730158730159,-0.15249433106575971,0.0027543790021444243,Emphysematous Area
593,0.9916558719312262,0.0107718537142209,0.0090169875805589,0.0390526581002771,0.0975056689342403,0.012849584278155798,-0.175673973293021,0.0022583452723586414,Emphysematous Area
594,0.9918012734187448,0.010639083305971,0.0106314599443306,0.0680272108843537,0.093222474174855,0.015873015873015803,-0.15753338372386,0.0021986739508845343,Emphysematous Area
595,0.9916184982385532,0.0111217991387611,0.0117977387265916,0.0670194003527336,0.1249685059208868,0.008062484252960501,-0.1522423784328547,0.0021485246487945972,Emphysematous Area
596,0.9859834015491548,0.0180083197511441,0.0173019975578113,0.0932224741748551,0.1249685059208868,0.019904257999496106,-0.1262912572436383,0.0038193216500694697,Emphysematous Area
597,0.9940067500880496,0.0077589541414624,0.0072238949548006,0.0536659108087679,0.0657596371882086,0.018896447467876,-0.1615646258503402,0.001620243013361104,Emphysematous Area
598,0.9927375029720582,0.0094706239554677,0.0098008031511481,0.0589569160997732,0.0886873267825648,0.010582010582010595,-0.16584782060972542,0.0019311686863187154,Emphysematous Area
599,0.9925926345630176,0.0096883879746714,0.0101770279312266,0.0652557319223985,0.0904509952128999,0.0209120685311161,-0.1595490047871001,0.001957703380335927,Emphysematous Area
